SS_GROUP,Village,Surface,soil_0,soil_10,soil_11,soil_12,soil_16,soil_17,soil_18,soil_2,soil_22,soil_24,soil_25,soil_26,soil_29,soil_4,soil_5,soil_6
1,3671,5.27001,,,,,,,,,,,,,,1.0,,
1,3673,4.76143,,,,,,,,,,,,,,1.0,,
1,3674,8.09842,,,,,,,,,,,,,,1.0,,
1,3675,28.0057,,,,,,,,,,,,,,1.0,,
1,3676,18.1357,,,,,,,,,,,,,,1.0,,
1,3677,27.5848,0.0041870931889584,,,,,,,,,,,,,0.9870810843525961,,0.008731822458445443
1,3678,3.67778,0.010525881284570297,,,,,,,,,,,,,0.9894741187154297,,
1,3679,11.4577,,,,,,,,,,,,,,1.0,,
1,3680,4.87604,,,,,,,,,,,,,,1.0,,
1,3681,9.9501,,,,,,,,,,,,,,1.0,,
1,3682,12.1541,,,,0.025434204447552098,,2.2474996566319968E-4,,,,,,,0.010438387294135274,0.9639026582926495,,
1,3683,4.46837,,,,,,,,,,,,,,1.0,,
1,3684,18.9757,0.016261528247706346,,,0.008158759868499987,,0.0384741519289068,0.004255353186315679,,,,,,0.004375334949087738,0.9136531247250419,,0.014821747094441642
1,3686,13.1242,,,,,,,,,,,,,,1.0,,
1,3687,29.895,,,,,,,,,,,,,,1.0,,
1,3688,20.5542,,,,,,,,,,,,,,1.0,,
1,3689,8.1166,,,,,,,,,,,,,,1.0,,
1,3690,15.093,,,,,,,,,,,,,,1.0,,
1,3691,5.36369,,,,,,,,,,,,,,1.0,,
1,3692,2.68383,,,,,,,,,,,,,,1.0,,
1,3694,10.9595,,,,,,,,,,,,,,1.0,,
1,3695,5.81041,,,,,,,,,,,,,,1.0,,
1,3696,7.17329,,,,,,,,,,,,,,1.0,,
1,3697,14.228,,,,,,,,,,,,,,1.0,,
1,3698,16.4828,,,,,,,,,,,,,,1.0,,
1,3699,12.7443,,,,,,,,,,,,,,1.0,,
1,3700,13.9563,0.0319159351238456,,,,0.04219560747968545,,,,,,,,,0.9258884573964689,,
