SS_GROUP,Village,Surface,Agro_1,Agro_12,Agro_13,Agro_14,Agro_15,Agro_16,Agro_2,Agro_3,Agro_4,Agro_5,Agro_6,Agro_7,Agro_8,Agro_9
1,3678,3.67778,,,,,,,,,,,1.0,,,
1,3679,11.4577,,,,,,,,,,,1.0,,,
1,3680,4.87604,,,,,,,,,,,1.0,,,
1,3681,9.9501,,,,,,,,,,,1.0,,,
1,3682,12.1541,,,,,,,,,,,1.0,,,
1,3683,4.46837,,,,,,,,,,,1.0,,,
1,3684,18.9757,,,,,,,,,,,1.0,,,
1,3686,13.1242,,,1.0,,,,,,,,,,,
1,3687,29.895,,,1.0,,,,,,,,,,,
1,3688,20.5542,,,1.0,,,,,,,,,,,
1,3689,8.1166,,,1.0,,,,,,,,,,,
1,3690,15.093,,,1.0,,,,,,,,,,,
1,3691,5.36369,,,1.0,,,,,,,,,,,
1,3692,2.68383,,,1.0,,,,,,,,,,,
1,3694,10.9595,,,1.0,,,,,,,,,,,
1,3695,5.81041,,,1.0,,,,,,,,,,,
1,3696,7.17329,,,1.0,,,,,,,,,,,
1,3697,14.228,,,1.0,,,,,,,,,,,
1,3698,16.4828,,,1.0,,,,,,,,,,,
1,3699,12.7443,,,1.0,,,,,,,,,,,
1,3700,13.9563,,,1.0,,,,,,,,,,,
1,3701,9.05886,,,1.0,,,,,,,,,,,
1,3707,8.64777,,,1.0,,,,,,,,,,,
1,3709,15.4002,,,1.0,,,,,,,,,,,
1,3711,4.09266,,,1.0,,,,,,,,,,,
1,3716,8.19142,,,1.0,,,,,,,,,,,
1,3717,4.553,,,1.0,,,,,,,,,,,
1,3718,5.87297,,,1.0,,,,,,,,,,,
1,3719,20.9489,,,1.0,,,,,,,,,,,
1,3720,37.3671,,,1.0,,,,,,,,,,,
1,3721,33.5088,,,1.0,,,,,,,,,,,
1,3722,4.7788,,,1.0,,,,,,,,,,,
1,3723,5.80476,,,1.0,,,,,,,,,,,
1,3724,12.2924,,,1.0,,,,,,,,,,,
1,3725,8.44717,,,1.0,,,,,,,,,,,
1,3726,14.2919,,,1.0,,,,,,,,,,,
1,3729,8.49137,,,1.0,,,,,,,,,,,
1,3730,9.67315,,,1.0,,,,,,,,,,,
1,3731,7.97672,,,1.0,,,,,,,,,,,
1,3732,5.14491,,,1.0,,,,,,,,,,,
1,3733,4.41593,,,1.0,,,,,,,,,,,
1,3734,7.18036,,,1.0,,,,,,,,,,,
1,3736,9.35654,,,1.0,,,,,,,,,,,
1,3737,15.8099,,,1.0,,,,,,,,,,,
1,3738,21.6204,,,1.0,,,,,,,,,,,
1,3739,14.8987,,,1.0,,,,,,,,,,,
1,3740,16.3517,,,1.0,,,,,,,,,,,
1,3741,13.5525,,,1.0,,,,,,,,,,,
1,3742,8.01169,,,1.0,,,,,,,,,,,
1,3743,5.23073,,,1.0,,,,,,,,,,,
1,3744,4.07575,,,1.0,,,,,,,,,,,
1,3745,4.6766,,,1.0,,,,,,,,,,,
1,3746,7.70542,,,0.05899563862928349,,,,,,,,0.9410043613707165,,,
1,3747,4.6213,,,0.9859979655163571,,,,,,,,0.014002034483642923,,,
1,3748,7.49013,,,1.0,,,,,,,,,,,
1,3749,6.49359,,,1.0,,,,,,,,,,,
1,3750,8.75704,,,0.7608104362288208,,,,,,,,0.23918956377117925,,,
1,3751,2.93668,,,0.47592104583268724,,,,,,,,0.5240789541673126,,,
