SS_GROUP,Village,Surface,LC_class111,LC_class20,LC_class30,LC_class40,LC_class50,LC_class60,LC_class80,LC_class90
1,3579,4.02469,0.002337390921756985,0.16236158979247634,0.3033475104495123,0.5319535088362544,,,,
1,3580,7.63108,,0.11821191252869398,0.2671209375377552,0.6146671499335508,,,,
1,3581,13.6456,,0.07448223292625569,0.20317390810749444,0.7209653092006032,0.0013785497656465396,,,
1,3582,6.39101,,0.32029747847727047,0.1397606083527244,0.5355247735133294,0.004417139656675654,,,
1,3583,8.12135,,0.041101244307904856,0.49852755383063235,0.4603712018614628,,,,
1,3584,4.86187,,0.005806407541498735,0.009677345902497893,0.9845162465560032,,,,
1,3585,12.1673,,0.06099473660260592,0.5781849621551108,0.36082030124228315,,,,
1,3586,17.0124,,0.04503192537579054,0.12883657940541968,0.8261314952187898,,,,
1,3587,4.55723,,0.016397559809775343,0.47236152406568743,0.5112409161245373,,,,
1,3588,5.41803,,0.003475274444467158,0.2582333340147597,0.7382913915407732,,,,
1,3589,9.42155,0.00499651223851586,0.031060671374491533,0.16183997053037488,0.8021028458566177,,,,
1,3590,10.4793,8.981245047107514E-4,0.1691397376067624,0.3295518182618651,0.48334595403715763,0.0017962490094215028,0.015268116580082773,,
1,3591,3.76909,,0.02955095482113639,0.07046766149655599,0.8999813836823077,,,,
1,3592,4.22034,,0.20866468946571828,9.623544438903614E-4,0.7903729560903913,,,,
1,3593,1.87906,,0.04106223218146795,0.012835633132837991,0.946102134685694,,,,
1,3594,31.0712,,0.7148992660617999,0.03144855723732409,0.2536521767008759,,,,
1,3595,21.5885,0.0013078555101747743,0.23562085525202295,0.0401656958902564,0.7229055933475458,,,,
1,3596,5.12763,,0.028546949472259425,0.018028136564574426,0.9514881852347834,0.0019367287283827957,,,
1,3597,1.20237,,0.007832898172323762,,0.9769620641990477,0.01520503762862848,,,
1,3598,19.1872,,0.09219851337996485,0.021453319131100202,0.886348167488935,,,,
1,3599,4.27193,,,0.002203023758099352,0.9977969762419007,,,,
1,3600,27.1691,,0.04834826066585636,0.0070972166579524555,0.9438619125545771,6.926101216141892E-4,,,
1,3601,3.97849,,0.004481600385992911,,0.9955183996140071,,,,
1,3602,12.2392,,0.0749630523299653,0.019707434776051875,0.9045603981299956,7.69114763987332E-4,,,
1,3603,36.0137,0.003716424897588318,0.25583713290316495,0.03344679970539035,0.7059547821312487,0.0010448603626075205,,,
1,3604,5.26839,,0.05403284019314461,0.005361235116440419,0.9334576112018277,0.007148313488587225,,,
1,3605,3.77964,,0.011070615479319543,,0.9739796566448121,0.014949727875868402,,,
1,3606,4.28123,,0.09111456176673564,0.011818495514147686,0.8970669427191166,,,,
1,3607,4.89447,,0.0073647037517732645,0.005772539313633758,0.9618484199088467,0.025014337025746285,,,
1,3608,29.2458,0.055149008378407034,0.32909362705735584,0.05783449237155885,0.5579228721926782,,,,
1,3609,12.6168,,0.06681551625250198,0.012673674107195112,0.9190184120890055,0.0014923975512975078,,,
1,3610,17.5427,,0.11779102630742715,0.05172047332745497,0.8240489573622285,0.006439543002889377,,,
1,3611,63.6492,0.28201497876547915,0.2698754129256986,0.022191945678619783,0.42591766263020253,,,,
